aladin.net.vn.		43200	IN	NS	dns21.fpt.vn.
aladin.net.vn.		43200	IN	NS	dns22.fpt.vn.
alaska.net.vn.		43200	IN	NS	ns1.pavietnam.vn.
alaska.net.vn.		43200	IN	NS	ns2.pavietnam.vn.
alaska.net.vn.		43200	IN	NS	nsbak.pavietnam.net.
album.net.vn.		43200	IN	NS	chan.ns.cloudflare.com.
album.net.vn.		43200	IN	NS	greg.ns.cloudflare.com.
alibaba.net.vn.		43200	IN	NS	ns1.inet.vn.
alibaba.net.vn.		43200	IN	NS	ns2.inet.vn.
alibabavietnam.net.vn.	43200	IN	NS	ns1.zonedns.vn.
alibabavietnam.net.vn.	43200	IN	NS	ns2.zonedns.vn.
alibabavietnam.net.vn.	43200	IN	NS	ns3.zonedns.vn.
alibabavietnam.net.vn.	43200	IN	NS	ns4.zonedns.vn.
alice3d.net.vn.		43200	IN	NS	ns1.inet.vn.
alice3d.net.vn.		43200	IN	NS	ns2.inet.vn.
aliexpress.net.vn.	43200	IN	NS	ns1.matbao.vn.
aliexpress.net.vn.	43200	IN	NS	ns2.matbao.vn.
alipas-ecogreen.net.vn.	43200	IN	NS	dns19.fpt.vn.
alipas-ecogreen.net.vn.	43200	IN	NS	dns20.fpt.vn.
alipasplatinum.net.vn.	43200	IN	NS	dns19.fpt.vn.
alipasplatinum.net.vn.	43200	IN	NS	dns20.fpt.vn.
alipay.net.vn.		43200	IN	NS	ns1.zonedns.vn.
alipay.net.vn.		43200	IN	NS	ns2.zonedns.vn.
alipay.net.vn.		43200	IN	NS	ns3.zonedns.vn.
alipay.net.vn.		43200	IN	NS	ns4.zonedns.vn.
allen-bradley.net.vn.	43200	IN	NS	clefw.ra.rockwell.com.
allen-bradley.net.vn.	43200	IN	NS	mkefw.ra.rockwell.com.
allenbradley.net.vn.	43200	IN	NS	dns1.cscdns.net.
allenbradley.net.vn.	43200	IN	NS	dns2.cscdns.net.
allfreelife.net.vn.	43200	IN	NS	ns1.matbao.vn.
allfreelife.net.vn.	43200	IN	NS	ns2.matbao.vn.
allinone.net.vn.	43200	IN	NS	ns1.matbao.vn.
allinone.net.vn.	43200	IN	NS	ns2.matbao.vn.
allmobile.net.vn.	43200	IN	NS	ns2008.nhanhoa.com.vn.
allmobile.net.vn.	43200	IN	NS	ns2009.nhanhoa.com.vn.
allunee.net.vn.		43200	IN	NS	ns1.matbao.vn.
allunee.net.vn.		43200	IN	NS	ns2.matbao.vn.
almaz.net.vn.		43200	IN	NS	ns1.netnam.vn.
